c,i0,p2h,gate,unt,arr_d,flujo04,untreated,treated,adult,child,mape_t5,mape_f8,max_err
2.500,4000,0.0080,0.008525,0.012521,188.86,4132.3,50.0,18.0,34.0,2.0,5.768,13.997,13.997
2.500,4000,0.0085,0.008137,0.011947,197.86,4352.4,52.0,17.0,32.0,2.0,4.114,10.082,10.082
2.500,4000,0.0090,0.007790,0.011433,206.68,4568.3,51.0,17.0,32.0,2.0,4.192,7.620,7.620
2.500,4000,0.0095,0.007477,0.010971,215.27,4780.2,51.0,17.0,33.0,2.0,3.441,7.070,7.070
2.500,4000,0.0100,0.007196,0.010555,223.73,4988.0,51.0,18.0,33.0,2.0,5.014,7.426,7.426
2.500,4000,0.0110,0.006706,0.009831,240.09,5391.7,50.0,18.0,34.0,2.0,5.768,12.502,12.502
2.500,4000,0.0120,0.006294,0.009223,255.82,5780.0,50.0,17.0,33.0,2.0,3.926,20.709,20.709
2.500,4000,0.0130,0.005945,0.008709,270.82,6153.3,52.0,18.0,33.0,2.0,4.936,28.618,28.618
2.500,4000,0.0140,0.005646,0.008269,285.14,6511.9,51.0,18.0,33.0,2.0,5.014,36.235,36.235
2.500,4000,0.0150,0.005386,0.007886,298.91,6856.2,51.0,17.0,34.0,2.0,3.711,43.569,43.569
2.500,4200,0.0070,0.009131,0.013420,176.32,3827.3,51.0,17.0,32.0,2.0,4.192,20.510,20.510
2.500,4200,0.0080,0.008233,0.012089,195.55,4298.8,52.0,17.0,32.0,2.0,4.114,11.126,11.126
2.500,4200,0.0085,0.007852,0.011525,205.00,4528.1,53.0,17.0,33.0,2.0,3.848,8.484,8.484
2.500,4200,0.0090,0.007520,0.011034,214.05,4753.0,52.0,17.0,33.0,2.0,3.364,7.058,7.058
2.500,4200,0.0095,0.007217,0.010586,223.09,4973.7,53.0,17.0,33.0,2.0,3.848,6.999,6.999
2.500,4200,0.0100,0.006942,0.010180,231.91,5190.2,52.0,18.0,33.0,2.0,4.936,8.226,8.226
2.500,4200,0.0110,0.006467,0.009479,248.95,5611.0,51.0,18.0,33.0,2.0,5.014,16.919,16.919
2.500,4200,0.0120,0.006069,0.008892,265.23,6015.8,52.0,17.0,32.0,2.0,4.114,25.460,25.460
2.500,4200,0.0130,0.005730,0.008393,280.95,6405.0,53.0,17.0,33.0,2.0,3.848,33.692,33.692
2.500,4200,0.0140,0.005441,0.007967,295.86,6779.1,52.0,17.0,33.0,2.0,3.364,41.623,41.623
2.500,4200,0.0150,0.005190,0.007597,310.23,7138.4,52.0,16.0,33.0,2.0,1.791,49.261,49.261
2.500,4500,0.0070,0.008698,0.012778,185.09,4044.3,51.0,17.0,32.0,2.0,4.192,16.138,16.138
2.500,4500,0.0080,0.007835,0.011499,205.45,4543.3,52.0,18.0,34.0,2.0,5.206,8.944,8.944
2.500,4500,0.0085,0.007477,0.010971,215.36,4786.0,53.0,17.0,33.0,2.0,3.848,6.869,6.869
2.500,4500,0.0090,0.007153,0.010491,225.05,5024.1,51.0,18.0,34.0,2.0,5.284,6.804,6.804
2.500,4500,0.0095,0.006864,0.010065,234.55,5257.9,50.0,19.0,35.0,2.0,8.091,9.236,9.236
2.500,4500,0.0100,0.006603,0.009680,243.86,5487.3,51.0,18.0,33.0,2.0,5.014,14.047,14.047
2.500,4500,0.0110,0.006147,0.009007,261.91,5933.1,52.0,17.0,33.0,2.0,3.364,23.412,23.412
2.500,4500,0.0120,0.005765,0.008444,279.23,6362.2,52.0,17.0,33.0,2.0,3.364,32.445,32.445
2.500,4500,0.0130,0.005444,0.007971,295.73,6775.0,52.0,16.0,32.0,2.0,2.542,41.154,41.154
2.500,4500,0.0140,0.005168,0.007565,311.59,7171.8,50.0,17.0,34.0,2.0,4.196,49.547,49.547
2.500,4500,0.0150,0.004926,0.007209,326.82,7553.2,52.0,16.0,32.0,2.0,2.542,57.632,57.632
2.550,2800,0.0070,0.011854,0.017469,135.77,2825.7,52.0,16.0,32.0,2.0,2.542,40.766,40.766
2.550,2800,0.0080,0.010727,0.015790,150.09,3171.0,50.0,17.0,33.0,2.0,3.926,33.460,33.460
2.550,2800,0.0085,0.010258,0.015093,156.95,3338.6,54.0,16.0,32.0,2.0,3.511,29.908,29.908
2.550,2800,0.0090,0.009839,0.014470,163.64,3502.9,51.0,16.0,33.0,2.0,1.869,26.421,26.421
2.550,2800,0.0095,0.009453,0.013897,170.32,3664.0,52.0,16.0,32.0,2.0,2.542,22.999,22.999
2.550,2800,0.0100,0.009108,0.013385,176.77,3821.8,50.0,17.0,32.0,2.0,4.676,19.641,19.641
2.550,2800,0.0110,0.008504,0.012490,189.32,4128.0,53.0,16.0,31.0,2.0,3.777,13.113,13.113
2.550,2800,0.0120,0.008001,0.011745,201.23,4422.0,50.0,16.0,34.0,2.0,2.624,9.516,9.516
2.550,2800,0.0130,0.007568,0.011105,212.73,4704.0,53.0,16.0,33.0,2.0,2.276,8.242,8.242
